text,intent
i do not know how to talk to a live agent,Contact
how to talk to an agent?,Contact
help me check at what time I can contact customer service,Contact
i do not know how to call customer assistance,Contact
how to check at what time I can contact customer service?,Contact
how do i talk with an assistant,Contact
how to contact an agent?,Contact
help contacting an agent,Contact
what do I need to do to contact customer service?,Contact
contact agent,Contact
i have to contact somebody,Contact
I need to check at what time customer service available is,Contact
I need assistance chatting witth a person,Contact
I don't know what to do to talk to an agent,Contact
I do not know what I have to do to contact customer service,Contact
I need assistance to talk with an agent,Contact
I don't know how to contact customer support,Contact
help to contact customer service,Contact
can I talk to an agent?,Contact
want help to speak to an operator,Contact
ya have a free phone number to talk to customer assistance,Contact
how do I check what ohurs I can contact customer support?,Contact
I need assistance talking to a huma agent,Contact
I need assistance chatting with somebody,Contact
I don't know how I could contact an agent,Contact
I don't know what I have to do to contact customer service,Contact
how do I contact customer service?,Contact
where do I check what hours customer service available is?,Contact
what time is customer assistance available?,Contact
show me at what time customer service available is,Contact
I need help calling customer support,Contact
will you show me at what time customer service available is?,Contact
can you help me to talk to a live agent?,Contact
I want to check what hours customer service available is,Contact
how could I check what hours customer service available is?,Contact
I want help contacting customer service,Contact
I need an agent,Contact
assistance contacting an agent,Contact
will you show me what hours customer service available is?,Contact
check at what time customer service available is,Contact
how do I talk to an operator?,Contact
could you tell me what hours I can contact customer service?,Contact
what do i have to do to talk to someone,Contact
i need assistance to talk with a human agent,Contact
"I want to speak to customer support,I need help",Contact
could I check what hours I can contact customer service?,Contact
help me contact an agent,Contact
can you show me what hours I can contact customer service?,Contact
assistance checking what hours customer service available is,Contact
what is the customer service mail?,Contact
I'm trying to speak with customer support,Contact
I need assistance to contact customer service,Contact
what hours can I contact customer service?,Contact
where to check what hours customer service available is?,Contact
how do I check at what time I can call customer service?,Contact
I don't know what I need to do to speak to an assistant,Contact
I want assistance to talk to an agent,Contact
i do not kinow how to talk with customer support,Contact
I need help chatting with a person,Contact
where do I check at what time customer service available is?,Contact
I wan to chat with someone,Contact
is it possible to call customer service,Contact
i cant talk with an assistant,Contact
I have to check what hours customer service available is,Contact
I don't know how to talk with somebody,Contact
is it possible to talk to a live agent?,Contact
i do not understand anything usay can uirect to me somebody,Contact
want assistance talking with a person,Contact
I need to speak with someone,Contact
could I contact customer service?,Contact
can you help me to contact customer service?,Contact
help me checking what hours customer service available is,Contact
help me checking at what time customer service available is,Contact
help me to speak with someone,Contact
I try to check what hours I can contact customer service,Contact
wanna speak to customer assistance,Contact
I want help to see at what time I can reach customer service,Contact
help to talk to an agent,Contact
where to check at what time I can contact customer service?,Contact
need assistance to contact a goddamn live agent,Contact
what do I need to do to speak with someone?,Contact
need to speak with customer support how can i do it,Contact
i need help to chat with a live agent,Contact
how could I talk to an agent?,Contact
I need assistance contacting customer service,Contact
wanna check at what time i can reach customer service,Contact
I need help to contact customer service,Contact
can you help me contacting someone?,Contact
need to speak with an human agent,Contact
could you help me talk to an agent?,Contact
I have to contact a live agent,Contact
need help speaking to fucking customer assistance,Contact
could you show me what hours customer service available is?,Contact
tell me at what time customer service available is,Contact
where to see what hours I can call customer service?,Contact
I need help talking to an agent,Contact
can you tell me what hours customer service available is?,Contact
I want help to speak with a live agent,Contact
need to contact fucking customer assistance,Contact
how can I check at what time I can contact customer service?,Contact
I would like to contact an agent,Contact
talk to human agent,Contact
i need help talking to a human agent,Contact
I do not know how to contact an agent,Contact
want help speaking to customer service,Contact
can you tell me what hours I can contact customer service?,Contact
I do not know how to talk with customer assistance,Contact
what is your customer service mail?,Contact
assistance checking what hours I can reach customer service,Contact
help me check at what time customer service available is,Contact
anybody available in customer service,Contact
I do not know how to speak ot bloody customer service,Contact
I do not knwo how to get in touch with customer support,Contact
I want assistance contacting customer service,Contact
how could I contact an agent?,Contact
I do not know what I have to do to contact an agent,Contact
can ya tell me at what time i can call customer service,Contact
want help to check at what time I can call customer support,Contact
want assistance speaking with a bloody live agent,Contact
customer service e-mail,Contact
I try to ocntact an agent,Contact
"I need to call customer assistance, help me",Contact
I want assistance speaking with an operator,Contact
I do not know what to do to contact an agent,Contact
i want help contacting a human agent,Contact
i do not know how to talk with someone,Contact
I have to check at what time I can contact customer service,Contact
help me to contact an agent,Contact
I don't know what to do to contact an agent,Contact
would it be possible to talk to an agent?,Contact
what do I need to do to speak with an operator?,Contact
can you help me talking to an agent?,Contact
I need help to speak to customer support,Contact
help me contact someone,Contact
I don't know what I have to do to talk to an agent,Contact
contacting customer service,Contact
how can I check what hours I can contact customer service?,Contact
anybody available at customer service,Contact
I want assistance talking to an agent,Contact
what do i need to do to contact someone,Contact
what do i need to do to chat with a live agent,Contact
show me at what time I can contact customer service,Contact
i have to call customer assistance can i get some help,Contact
how do I speak to customer assistance?,Contact
I have to contact an agent,Contact
uare not helpful at all need help to speak with someody,Contact
could I contact an agent?,Contact
how to check what hours customer service available is?,Contact
i have got to call customer support i need assistance,Contact
need help checking at what time I can call customer support,Contact
is it possible to contact customer service?,Contact
can uhelp me to contact someone,Contact
can you show me what hours customer service available is?,Contact
i want help chatting with a live agent,Contact
where to check what hours I can contact customer service?,Contact
could you help me to contact an agent?,Contact
i do not know what i need to do to speak to customer service,Contact
want help talking with somebody,Contact
assistance to check what hours customer service available is,Contact
what do I have to do to talk to a human agent?,Contact
do you have a mail to contact customer service?,Contact
I don't know what I have to do to talk to customer asistance,Contact
how can i get in touch with customer assistance,Contact
can  i call customer assistance,Contact
help checking at whattime i can contact customer service,Contact
can you help me talk to an agent?,Contact
how to see what hours customer service available is?,Contact
i try to talk with customer support,Contact
could I check at what time I can contact customer service?,Contact
i do not understand a word ya say speak with an agent,Contact
I want help chatting with someone,Contact
can I see what hours I can call customer assistance?,Contact
can you help me contacting customer service?,Contact
can you help me contact customer service?,Contact
wanna speak to an operator,Contact
speaking with agent,Contact
help me speak to a live agent,Contact
I can't contact an agent,Contact
can you help me contacting an agent?,Contact
I want assistance to contact an agent,Contact
i dont know what i need to do to talk to an operator,Contact
I need help to contact an agent,Contact
how do I check what hours I can call customer assistance?,Contact
i dont know what to do to speak to a human agent,Contact
how do I talk to an agent?,Contact
I want help to talk to an agent,Contact
I need assistance talking to an agent,Contact
i do not know what i have to do to speak with somebody,Contact
I need help seeing at what time I can call customer service,Contact
customer service number,Contact
can you ehlp me speak with a person?,Contact
i call to file a consumer complaint against ur company,Feedback
is there an e-mail to submit a review?,Feedback
I want assistance submitting some feedback for a service,Feedback
I don't know what I need to do to lodge a consumer claim,Feedback
help filing a complaint against your business,Feedback
I want help to submit some feedback for your company,Feedback
do you have an e-mail to submit a review for your company?,Feedback
I want to file a complaint,Feedback
help to file a customer claim against ur business,Feedback
help me leave a review for a service,Feedback
is it possible to leave a review for your services?,Feedback
lodge complaint against your organization,Feedback
assistance to submit some feedback for a service,Feedback
I want help filing a complaint,Feedback
help submitting some feedback,Feedback
review for a service,Feedback
I'm not happy wiht ur work help me to lodge a complaint,Feedback
help me file a complaint,Feedback
I do not know how to file a complaint against your business,Feedback
leave review for your services,Feedback
how could I leave a review for your services?,Feedback
can you help me file a customer claim?,Feedback
I try to file a customer complaint against your business,Feedback
how do i filer a customer complaint,Feedback
I try to file a complaint against your business,Feedback
assistance leaving a review for your company,Feedback
I do not know what I have to do to file a complaint,Feedback
i call to file a complaint against ur business,Feedback
I call to leave a review for your company,Feedback
where can I leave a review?,Feedback
I need to leave a review for your company,Feedback
I need help to lodge a bloody complaint against your company,Feedback
assistance filing a complaint,Feedback
help me to submit some feedback for your services,Feedback
how do I file a customer complaint against your business?,Feedback
I don't know how to file a complaint,Feedback
I do not know how I could leave a review for a service,Feedback
I do not know how to leave a review for your services,Feedback
I do not know how to submit some feedback for your company,Feedback
can I submit some feedback?,Feedback
can you help me leave a review?,Feedback
help me lodging a complaint against your organization,Feedback
help to leave a review for your services,Feedback
what do i need to do to make a complaint,Feedback
how could I file a complaint?,Feedback
how to leave a review for your services?,Feedback
how can I leave a review for your services?,Feedback
could you help me to file a complaint?,Feedback
I need assistance filing a complaint,Feedback
could you help me submit some feedback for your company?,Feedback
I want assistance leaving a review for your company,Feedback
I want assistance to leave a review for your services,Feedback
help leaving a review,Feedback
I have to leave a review for your company,Feedback
how to file a consumer reclamation,Feedback
can I lodge a consumer complaint?,Feedback
how to file a complaint against your business?,Feedback
help me submit some feedback for a service,Feedback
can you help me submit some feedback for your services?,Feedback
how to file a complaint?,Feedback
I do not know how to submit some feedback,Feedback
help me leaving a review,Feedback
review,Feedback
I do not know how to leave a review,Feedback
I am trying to leave a review for your company,Feedback
help me make a claim against your company,Feedback
where do I file a complaint?,Feedback
making claim against your company,Feedback
can I make a consumer reclamation against your organization?,Feedback
can ya help me lodge a complaint against ur business,Feedback
where can I leave a review for a service?,Feedback
I want assistance submitting some feedback for your company,Feedback
I need to leave a review for your services,Feedback
can you help me leave a review for your company?,Feedback
could you help me file a complaint?,Feedback
i have got to make a reclamation against ur commpany,Feedback
I am trying to lodge a claim,Feedback
can you help me submitting some feedback for your services?,Feedback
assistance to file a complaint,Feedback
I do not know how I could leave a review,Feedback
I need to submit some feedback for a service,Feedback
where do I lodge a reclamation against your organization?,Feedback
I don't know how I can submit some feedback,Feedback
what do I need to do to file a complaint?,Feedback
i need help filing a complaint against ur company,Feedback
I do not know how I can leave a review for your services,Feedback
I want help to leave a review,Feedback
make complaint,Feedback
where to file a consumer complaint against ur business,Feedback
I want assistance to file a complaint,Feedback
review for your services,Feedback
I need help to file a customer claim against your business,Feedback
need help to make a complaint against your business,Feedback
help me submit some feedback,Feedback
I don't know how I can make a customer claim,Feedback
I don't know how I can submit some feedback for a service,Feedback
where to file a consumer claim?,Feedback
filing complaint,Feedback
I want to file a consumer complaint against your company,Feedback
where do I file a complaint against your business?,Feedback
where to lodge acustomer complaint against ur business,Feedback
how can I lodge a complaint?,Feedback
I call to leave a review for a service,Feedback
where do I leave a review for your services?,Feedback
I'm trying to make a complaint against ur organization,Feedback
I have got to submit some feedback,Feedback
I need to submit some feedback,Feedback
can you help me leaving a review for a service?,Feedback
I want assistance leaving a review,Feedback
I try to leave a review for your company,Feedback
how to leave a review?,Feedback
i dont know how to file a customer reclamation,Feedback
help submitting some feedback for a service,Feedback
can you help me leaving a review?,Feedback
I do not know what to do to leave a review for your company,Feedback
can I leave a review?,Feedback
I call to lodge a consumer reclamation against your company,Feedback
is there a section to submit a review for your company?,Feedback
I want assistance to submit some feedback for a service,Feedback
I need help making a reclamation against your company,Feedback
how do I file a complaint?,Feedback
help me to submit some feedback,Feedback
do you have a section to submit a review for your company?,Feedback
how to file a consumer claim?,Feedback
what do I need to do to leave a review for your company?,Feedback
I do not know how I could leave a review for your services,Feedback
I do not know how I can leave a review for your company,Feedback
I don't know what to do to file a complaint,Feedback
I do not know how to make a consumer complaint,Feedback
i do not know how to file a customer reclamation,Feedback
do you have a section to submit some feedback for a service?,Feedback
I am trying to file a complaint against your business,Feedback
do you have a section to submit some feedback?,Feedback
could you help me submit some feedback?,Feedback
I don't know how to submit some feedback for a service,Feedback
i try to file a complaint against ur organization,Feedback
I'm not happy with ur service file a customer reclamation,Feedback
I want assistance filing a complaint,Feedback
where to file a complaint?,Feedback
leaving review,Feedback
leave review for your company,Feedback
i try to file a consumer reclamation against ur company,Feedback
i need assistance to make a bloody customer claim,Feedback
can I file a complaint against your business?,Feedback
making customer claim against your company,Feedback
how can I leave a review for a service?,Feedback
wanna make a consumer claim against ur organization,Feedback
could you help me to file a complaint against your business?,Feedback
can you help me leave a review for a service?,Feedback
file complaint,Feedback
what do I need to do to leave a review?,Feedback
where do I submit some feedback for your company?,Feedback
I want help to file a complaint,Feedback
assistance to file a complaint against your organizxation,Feedback
I don't know how I can make a claim against your business,Feedback
I try to make a customer complaint against your company,Feedback
i call to lodge a consumer reclamation against ur business,Feedback
I am calling to submit some feedback for a service,Feedback
how to submit some feedback for your company?,Feedback
how to leave a review for a service?,Feedback
where can I submit some feedback for your services?,Feedback
I need assistance to leave a review for your services,Feedback
submitting product review,Feedback
I want to file a complaint against your business,Feedback
how to submit some feedback for your services?,Feedback
make claim against your business,Feedback
is it possible to file a complaint against your business?,Feedback
I try to leave a review,Feedback
file complaint against your business,Feedback
assistance to file a complaint against your business,Feedback
"I am not happy with your work, file a consumer rfeclamation",Feedback
how can I submit some feedback for your services?,Feedback
help to make a consumer complaint against your business,Feedback
I am trying to leave a review,Feedback
can I submit some feedback for your company?,Feedback
is there a section to submit a review for your services?,Feedback
I have to leave a review,Feedback
can you help me file a complaint against your business?,Feedback
I do not know how I can file a complaint,Feedback
do you have an e-mail to submit some feedback?,Feedback
is it possible to submit some feedback for a service?,Feedback
I want assistance to submit some feedback,Feedback
could I submit some feedback?,Feedback
can ya help me to make a consumer complaint,Feedback
can i lodge a consumer complaint against ur company,Feedback
I want assistance lodging a claim against your organization,Feedback
help to file a complaint,Feedback
help to lodge a customer complaint,Feedback
I have got to submit some feedback for your services,Feedback
is there a section to submit some feedback for your company?,Feedback
making complaint against ur company,Feedback
I am trying to file a complaint,Feedback
help me to file a complaint,Feedback
I try to submit some feedback,Feedback
help leaving a review for your services,Feedback
I do not know what I need to do to leave a review,Feedback
help making a claim against your organization,Feedback
I'm not happy with ur work i wanna lodge a customer claim,Feedback
could I file a complaint?,Feedback
assistance lodging a reclamation against your organization,Feedback
what do I have to do to leave a review for your company?,Feedback
I want assistance to leave a review,Feedback
I do not know how I can submit some feedback for a service,Feedback
can you help me to file a complaint against your business?,Feedback
I need help filing a complaint,Feedback
make consumer claim against your company,Feedback
could I leave a review for a service?,Feedback
i want assistance to file a complaint against ur company,Feedback
assistance filing a claim against ur business,Feedback
help to lodge a customer claim,Feedback
I don't know how I could file a complaint,Feedback
where can I file a complaint?,Feedback
help me to leave a review for a service,Feedback
help to file a complaint against your business,Feedback
I need assistance leaving a review for your services,Feedback
make consmuer complaint,Feedback
I would like to leave a review for a service,Feedback
I do not know what to do to file a complaint,Feedback
I don't know what I have to do to file a complaint,Feedback
I do not know how to leave a review for your company,Feedback
could you help me to leave a review for your company?,Feedback
where can I file a complaint against your business?,Feedback
make customer reclamation,Feedback
I want help to leave a review for your services,Feedback
I want help submitting some feedback for your company,Feedback
what do I have to do to file a complaint?,Feedback
I'm not happy with ur service help me make an customer claim,Feedback
I want help submitting some feedback,Feedback
is there an e-mail to submit some feedback?,Feedback
assistance leaving a review for a service,Feedback
assistance to submit some feedback for your services,Feedback
can you help me submit some feedback?,Feedback
what do i need to do to lodge a customer reclamation,Feedback
would it be possible to submit some feedback?,Feedback
how can I submit some feedback for a service?,Feedback
were to make a customer complaint against your business?,Feedback
I need to file a complaint against your business,Feedback
need help filing a claim against ur organization,Feedback
how can I file a complaint?,Feedback
I do not know what I need to do to file a complaint,Feedback
complaint against your business,Feedback
help me to submit some feedback for your company,Feedback
need help filing a consumer reclamation against ur company,Feedback
is it possible to file a complaint?,Feedback
"I am not happy with your service, I try to lodge an claim",Feedback
I have to file a complaint,Feedback
I need assistance leaving a review for a service,Feedback
I need help filing a bloody claim against your organization,Feedback
could you help me filing a complaint against your business?,Feedback
I am calling to leave a review for a service,Feedback
I try to leave a review for your services,Feedback
what do I have to do to leave a review?,Feedback
I call to leave a review,Feedback
I need assistance to submit some feedback for your company,Feedback
could you help me leave a review?,Feedback
where to make a claim,Feedback
I want to filea claim,Feedback
help me submitting some feedback for your company,Feedback
"I am not happy with your services, make a claim",Feedback
need hbelp making a reclamation against your organization,Feedback
I do not know how I could file a complaint,Feedback
I want help to submit some feedback for a service,Feedback
I need help lodging a complaint against your company,Feedback
I'm not happy with ur services i try to lodge an claim,Feedback
what do I need to do to leave a review for a service?,Feedback
what do I need to do to lodhe a reclamation?,Feedback
assistance to make a consumer complaint,Feedback
I am calling to leave a review,Feedback
help me submitting some feedback,Feedback
filing complaint against your business,Feedback
could you help me submit some feedback for a service?,Feedback
I want help filing a complaint against your business,Feedback
help me file a consumer reclamation against your company,Feedback
I don't know how I can file a complaint,Feedback
can you help me filing a complaint against your business?,Feedback
help to submit some feedback for your services,Feedback
can I file a complaint?,Feedback
can you help me to lodge a lcaim against your business?,Feedback
how to make an claim against ur business,Feedback
"I am not happy with youur service, assistance filing a claim",Feedback
can you help me lodge a complaint ?,Feedback
where do i lodge a customer complaint against ur business,Feedback
I tgry to lodge a customer claim against your company,Feedback
I need assistance to file a complaint,Feedback
I would like to submit some feedback for your company,Feedback
I want assistance to make a customer relcamation,Feedback
I'm not happy with ur services help to lodge a claim,Feedback
how do I leave a review?,Feedback
i dont know how i could make a reclamation,Feedback
lodging customer claim against ur organization,Feedback
would it be possible to leave a review for a service?,Feedback
what do I have to do to submit some feedback for a service?,Feedback
I do not know how to leave a review for a service,Feedback
where do I submit some feedback for a service?,Feedback
I don't know what I have to do to leave a review,Feedback
where can I make a consumer complaint against your company?,Feedback
I want help submitting some feedback for a service,Feedback
could I leave a review for your company?,Feedback
I need to make a consumer reclamation,Feedback
help me to file a complaint against your business,Feedback
how could I submit some feedback?,Feedback
I need help to file a complaint,Feedback
where could i file a reclamation,Feedback
where can i lodge an complaint against ur business,Feedback
leaving review for your company,Feedback
I do not know what to do to leave a review for a service,Feedback
how could I leave a review for a service?,Feedback
can you help me filing a complaint?,Feedback
I try to make a complaint,Feedback
assistance submitting some feedback for your company,Feedback
i want assistance filing a bloody claim,Feedback
I am calling to lodge a claim against your organization,Feedback
how could I submit some feedback for a service?,Feedback
can you help me to leave a review for your company?,Feedback
I need help leaving a review for your services,Feedback
I need help to leave a review for your company,Feedback
i do not know what i need to do to make a complaint,Feedback
I don't know how to leave a review for your services,Feedback
I don't know what to do to leave a review for a service,Feedback
where can I make a consumer reclamaqtion?,Feedback
I call to submit some feedback for a service,Feedback
I need assistance leaving a review for your company,Feedback
I have got to file a complaint against your business,Feedback
I try to submit some feedback for a service,Feedback
help me to leave a review for your services,Feedback
I do not know what to do to leave a review,Feedback
want help to make a reclamation,Feedback
I need assistance to leave a review for your company,Feedback
I want to submit some feedback for your company,Feedback
can you help me to submit some feedback for your services?,Feedback
I want to leave a review,Feedback
i do not know what to do to make a consumer reclamation,Feedback
I do not know how I can leave a review for a service,Feedback
help making a consumer reclamation against ur business,Feedback
how do i mke a customer claim against ur business,Feedback
how to lodge a complaint against your company?,Feedback
